,title,year,rating,votes
0,A Rainy Day in New York,2019,6.6,"21,903"
1,Murder Manual,2020,2.4,192
2,Ferris Bueller's Day Off,1986,7.8,"308,847"
3,Cape Fear,1991,7.3,"165,628"
4,Mean Girls,2004,7.0,"320,492"
5,Gretel & Hansel,2020,5.3,"15,051"
6,Jurassic World: Fallen Kingdom,2018,6.2,"250,190"
7,The Avengers,2012,8.0,"1,233,746"
8,Good Will Hunting,1997,8.3,"826,970"
9,2001: A Space Odyssey,1968,8.3,"580,491"
10,Scarface,1983,8.3,"712,283"
11,Dazed and Confused,1993,7.6,"158,876"
12,Our House,2018,5.3,"5,563"
13,Full Metal Jacket,1987,8.3,"650,539"
14,Harry Potter and the Chamber of Secrets,2002,7.4,"529,173"
15,Gran Torino,2008,8.1,"701,410"
16,"Three Billboards Outside Ebbing, Missouri",2017,8.2,"401,685"
17,Cast Away,2000,7.8,"504,512"
18,Star Wars: Episode III - Revenge of the Sith,2005,7.5,"688,367"
19,Bird Box,2018,6.6,"260,466"
20,Seberg,2019,5.5,"3,550"
21,School of Rock,2003,7.1,"259,325"
22,Malena,2000,7.5,"86,357"
23,A Beautiful Mind,2001,8.2,"819,184"
24,Fargo,1996,8.1,"594,745"
25,True Grit,2010,7.6,"301,162"
26,Les Misérables,2012,7.6,"300,159"
27,Cinderella,2015,6.9,"153,807"
28,Superbad,2007,7.6,"507,141"
29,I Am Legend,2007,7.2,"669,173"
30,The Kitchen,2019,5.4,"12,248"
31,Star Wars: Episode II - Attack of the Clones,2002,6.5,"620,176"
32,Vertigo,1958,8.3,"346,708"
33,Debt Collectors,2020,5.6,562
34,Mortal Kombat Legends: Scorpion's Revenge,2020,7.5,"7,885"
35,Blade Runner,1982,8.1,"670,715"
36,Watchmen,2009,7.6,"486,131"
37,Richard Jewell,2019,7.5,"41,140"
38,Downton Abbey,2019,7.4,"33,013"
39,Toy Story 4,2019,7.8,"181,918"
40,San Andreas,2015,6.0,"205,022"
41,The Age of Adaline,2015,7.2,"148,852"
42,It Comes At Night,2017,6.2,"79,172"
43,The Master,2012,7.2,"147,339"
44,No Escape,2015,6.8,"75,312"
45,Robin Hood,2010,6.6,"247,986"
46,Immortals,2011,6.0,"157,957"
47,American Graffiti,1973,7.4,"78,975"
48,The Professor and the Madman,2019,7.3,"27,015"
49,Sixteen Candles,1984,7.1,"101,110"
50,Fractured,2019,6.4,"46,200"
51,Battleship,2012,5.8,"232,029"
52,Batman & Robin,1997,3.7,"228,233"
53,Matilda,1996,6.9,"121,733"
54,Black Hawk Down,2001,7.7,"355,348"
55,The Art of Racing in the Rain,2019,7.5,"19,447"
56,The Last House on the Left,2009,6.5,"83,276"
57,"O Brother, Where Art Thou?",2000,7.7,"276,307"
58,Moon,2009,7.9,"326,750"
59,No Strings Attached,2011,6.2,"207,702"
60,Movie 43,2013,4.3,"97,355"
61,The Gift,2015,7.0,"133,058"
62,The Da Vinci Code,2006,6.6,"389,770"
63,The Equalizer 2,2018,6.7,"119,751"
64,Blow the Man Down,2019,6.4,"4,228"
65,Notting Hill,1999,7.1,"262,262"
66,The Waterboy,1998,6.1,"144,663"
67,Dredd,2012,7.1,"244,379"
68,Fast & Furious 6,2013,7.1,"360,689"
69,Scent of a Woman,1992,8.0,"248,620"
70,The Laundromat,2019,6.3,"38,813"
71,Edward Scissorhands,1990,7.9,"433,811"
72,High Life,2018,5.8,"24,503"
73,Kids,1995,7.1,"71,032"
74,Thirteen,2003,6.8,"78,129"
75,The Nun,2018,5.3,"109,536"
76,Before Sunrise,1995,8.1,"257,987"
77,Run All Night,2015,6.6,"99,067"
