,title,tomatoes_rating
0,The SpongeBob Movie: Sponge on the Run,67%
1,You Go to My Head,60%
2,Nomadland,94%
3,Coming 2 America,49%
4,Raya and the Last Dragon,94%
5,Two of Us (Deux),97%
6,Savage,76%
7,Imperial Blue,75%
8,"Yalda, a Night for Forgiveness",94%
9,Stray,96%
10,Cowboys,93%
11,Little Fish,91%
12,Notturno,81%
13,I Care a Lot,80%
14,Dear Comrades!,94%
15,Supernova,88%
16,Billie Eilish: The World's a Little Blurry,98%
17,Nasrin,89%
18,Rams,90%
19,Reunion,83%
20,Skyfire,55%
21,Happily,68%
22,Finding 'Ohana,85%
23,Willy's Wonderland,62%
24,Donna,86%
25,Bliss,27%
26,The Dig,88%
27,Son of the South,54%
28,Moxie,70%
29,Donny's Bar Mitzvah,50%
30,Long Live Rock... Celebrate the Chaos,25%
31,Brewmance,100%
32,The Emoji Story (Picture Character),91%
33,Yellow Rose,87%
34,American Skin,37%
35,Soul,96%
36,Sing Me A Song,89%
37,Lupin III: The First,95%
38,Assassins,98%
39,Wander Darkly,75%
40,Breaking Surface,100%
41,Beasts Clawing at Straws,97%
42,MLK/FBI,99%
43,Shadow in the Cloud,78%
44,I Am Lisa,89%
45,Shortcut,59%
46,Girl,61%
47,Archenemy,75%
48,Skylines,54%
49,Knuckledust,57%
50,Hunter Hunter,94%
51,Wild Mountain Thyme,26%
52,The Stand In,30%
53,Sister of the Groom,47%
54,Max Cloud,57%
55,Breach,21%
56,Ip Man: Kung Fu Master,36%
57,Redemption Day,14%
58,Paint,89%
59,Modern Persuasion,44%
60,The One You Feed,33%
61,Stars Fell on Alabama,54%
62,Gun and a Hotel Bible,57%
63,"If Not Now, When?",53%
64,Koko-di Koko-da,80%
65,Princess of the Row,88%
66,Collective (Colectiv),99%
67,Billie,97%
68,18 to Party,57%
69,White Riot,100%
70,The Planters,95%
71,Luxor,90%
72,Beast Mode,63%
73,Black Bear,90%
74,Train to Busan Presents: Peninsula,53%
75,Lie Exposed,0%
76,The Donut King,97%
77,Stardust,21%
78,Survival Skills,87%
79,The Walrus and the Whistleblower,43%
80,Ammonite,69%
81,A Chef's Voyage,67%
82,Minor Premise,93%
83,Crock of Gold: A Few Rounds with Shane MacGowan,96%
84,Fatman,45%
85,"Love, Weddings & Other Disasters",4%
86,What Lies Below,53%
87,Smiley Face Killers,38%
88,Dear Santa,92%
89,King of Knives,78%
90,Elyse,50%
91,The Ventures: Stars on Guitars,100%
92,The Mystery of the Pink Flamingo,100%
93,Trail of Ashes,40%
94,The Bloodhound,86%
95,The Informer,62%
96,Creem: America's Only Rock 'N' Roll Magazine,96%
97,Honey Bee,100%
98,Hearts and Bones,81%
99,The Shock of the Future (Le choc du futur),80%
100,A Rainy Day in New York,47%
101,Jungleland,75%
102,The Giant,50%
